😀,face | grin
👩🏽‍✈️,medium skin tone | pilot | plane | woman
👩🏾‍✈️,medium-dark skin tone | pilot | plane | woman
👩🏿‍✈️,dark skin tone | pilot | plane | woman
👨‍🚀,astronaut | man | rocket
👨🏻‍🚀,astronaut | light skin tone | man | rocket
👨🏼‍🚀,astronaut | man | medium-light skin tone | rocket
👨🏽‍🚀,astronaut | man | medium skin tone | rocket
👨🏾‍🚀,astronaut | man | medium-dark skin tone | rocket
👨🏿‍🚀,astronaut | dark skin tone | man | rocket
👩‍🚀,astronaut | rocket | woman
👩🏻‍🚀,astronaut | light skin tone | rocket | woman
👩🏼‍🚀,astronaut | medium-light skin tone | rocket | woman
👩🏽‍🚀,astronaut | medium skin tone | rocket | woman
👩🏾‍🚀,astronaut | medium-dark skin tone | rocket | woman
👩🏿‍🚀,astronaut | dark skin tone | rocket | woman
👨‍🚒,firefighter | firetruck | man
👨🏻‍🚒,firefighter | firetruck | light skin tone | man
👨🏼‍🚒,firefighter | firetruck | man | medium-light skin tone
👨🏽‍🚒,firefighter | firetruck | man | medium skin tone
👨🏾‍🚒,firefighter | firetruck | man | medium-dark skin tone
👨🏿‍🚒,dark skin tone | firefighter | firetruck | man
👩‍🚒,firefighter | firetruck | woman
👩🏻‍🚒,firefighter | firetruck | light skin tone | woman
👩🏼‍🚒,firefighter | firetruck | medium-light skin tone | woman
👩🏽‍🚒,firefighter | firetruck | medium skin tone | woman
👩🏾‍🚒,firefighter | firetruck | medium-dark skin tone | woman
👩🏿‍🚒,dark skin tone | firefighter | firetruck | woman
👮,cop | officer | police
👮🏻,cop | light skin tone | officer | police
👮🏼,cop | medium-light skin tone | officer | police
👮🏽,cop | medium skin tone | officer | police
👮🏾,cop | medium-dark skin tone | officer | police
👮🏿,cop | dark skin tone | officer | police
👮‍♂️,cop | man | officer | police
👮🏻‍♂️,cop | light skin tone | man | officer | police
👮🏼‍♂️,cop | man | medium-light skin tone | officer | police
👮🏽‍♂️,cop | man | medium skin tone | officer | police
👮🏾‍♂️,cop | man | medium-dark skin tone | officer | police
👮🏿‍♂️,cop | dark skin tone | man | officer | police
👮‍♀️,cop | officer | police | woman
👮🏻‍♀️,cop | light skin tone | officer | police | woman
👮🏼‍♀️,cop | medium-light skin tone | officer | police | woman
👮🏽‍♀️,cop | medium skin tone | officer | police | woman
👮🏾‍♀️,cop | medium-dark skin tone | officer | police | woman
👮🏿‍♀️,cop | dark skin tone | officer | police | woman
🕵,detective | sleuth | spy
🕵🏻,detective | light skin tone | sleuth | spy
🕵🏼,detective | medium-light skin tone | sleuth | spy
🕵🏽,detective | medium skin tone | sleuth | spy
🕵🏾,detective | medium-dark skin tone | sleuth | spy
🕵🏿,dark skin tone | detective | sleuth | spy
🕵️‍♂️,detective | man | sleuth | spy
🕵🏻‍♂️,detective | light skin tone | man | sleuth | spy
🕵🏼‍♂️,detective | man | medium-light skin tone | sleuth | spy
🕵🏽‍♂️,detective | man | medium skin tone | sleuth | spy
🕵🏾‍♂️,detective | man | medium-dark skin tone | sleuth | spy
🕵🏿‍♂️,dark skin tone | detective | man | sleuth | spy
🕵️‍♀️,detective | sleuth | spy | woman
🕵🏻‍♀️,detective | light skin tone | sleuth | spy | woman
🕵🏼‍♀️,detective | medium-light skin tone | sleuth | spy | woman
🕵🏽‍♀️,detective | medium skin tone | sleuth | spy | woman
🕵🏾‍♀️,detective | medium-dark skin tone | sleuth | spy | woman
🕵🏿‍♀️,dark skin tone | detective | sleuth | spy | woman
💂,guard
💂🏻,guard | light skin tone
💂🏼,guard | medium-light skin tone
💂🏽,guard | medium skin tone
💂🏾,guard | medium-dark skin tone
💂🏿,dark skin tone | guard
💂‍♂️,guard | man
💂🏻‍♂️,guard | light skin tone | man
💂🏼‍♂️,guard | man | medium-light skin tone
💂🏽‍♂️,guard | man | medium skin tone
💂🏾‍♂️,guard | man | medium-dark skin tone
💂🏿‍♂️,dark skin tone | guard | man
💂‍♀️,guard | woman
💂🏻‍♀️,guard | light skin tone | woman
💂🏼‍♀️,guard | medium-light skin tone | woman
💂🏽‍♀️,guard | medium skin tone | woman
💂🏾‍♀️,guard | medium-dark skin tone | woman
💂🏿‍♀️,dark skin tone | guard | woman
👷,construction | hat | worker
👷🏻,construction | hat | light skin tone | worker
👷🏼,construction | hat | medium-light skin tone | worker
👷🏽,construction | hat | medium skin tone | worker
👷🏾,construction | hat | medium-dark skin tone | worker
👷🏿,construction | dark skin tone | hat | worker
👷‍♂️,construction | man | worker
👷🏻‍♂️,construction | light skin tone | man | worker
👷🏼‍♂️,construction | man | medium-light skin tone | worker
👷🏽‍♂️,construction | man | medium skin tone | worker
👷🏾‍♂️,construction | man | medium-dark skin tone | worker
👷🏿‍♂️,construction | dark skin tone | man | worker
👷‍♀️,construction | woman | worker
👷🏻‍♀️,construction | light skin tone | woman | worker
👷🏼‍♀️,construction | medium-light skin tone | woman | worker
👷🏽‍♀️,construction | medium skin tone | woman | worker
👷🏾‍♀️,construction | medium-dark skin tone | woman | worker
👷🏿‍♀️,construction | dark skin tone | woman | worker
🤴,prince
🤴🏻,light skin tone | prince
🤴🏼,medium-light skin tone | prince
🤴🏽,medium skin tone | prince
🤴🏾,medium-dark skin tone | prince
🤴🏿,dark skin tone | prince
👸,fairy tale | fantasy
👸🏻,fairy tale | fantasy | light skin tone
👸🏼,fairy tale | fantasy | medium-light skin tone
👸🏽,fairy tale | fantasy | medium skin tone
👸🏾,fairy tale | fantasy | medium-dark skin tone
👸🏿,dark skin tone | fairy tale | fantasy
👳,turban
👳🏻,light skin tone | turban
👳🏼,medium-light skin tone | turban
👳🏽,medium skin tone | turban
👳🏾,medium-dark skin tone | turban
👳🏿,dark skin tone | turban
👳‍♂️,man | turban
👳🏻‍♂️,light skin tone | man | turban
👳🏼‍♂️,man | medium-light skin tone | turban
👳🏽‍♂️,man | medium skin tone | turban
👳🏾‍♂️,man | medium-dark skin tone | turban
👳🏿‍♂️,dark skin tone | man | turban
👳‍♀️,turban | woman
👳🏻‍♀️,light skin tone | turban | woman
👳🏼‍♀️,medium-light skin tone | turban | woman
👳🏽‍♀️,medium skin tone | turban | woman
👳🏾‍♀️,medium-dark skin tone | turban | woman
👳🏿‍♀️,dark skin tone | turban | woman
👲,gua pi mao | hat | man
👲🏻,gua pi mao | hat | light skin tone | man
👲🏼,gua pi mao | hat | man | medium-light skin tone
👲🏽,gua pi mao | hat | man | medium skin tone
👲🏾,gua pi mao | hat | man | medium-dark skin tone
👲🏿,dark skin tone | gua pi mao | hat | man
🧕,headscarf | hijab | mantilla | tichel | <span class="keye">bandana</span> | <span class="keye">head kerchief</span>
🧕🏻,headscarf | hijab | light skin tone | mantilla | tichel
🧕🏼,headscarf | hijab | mantilla | medium-light skin tone | tichel
🧕🏽,headscarf | hijab | mantilla | medium skin tone | tichel
🧕🏾,headscarf | hijab | mantilla | medium-dark skin tone | tichel
🧕🏿,dark skin tone | headscarf | hijab | mantilla | tichel
🧔,<span class="keye">bewhiskered</span>
🧔🏻,light skin tone
🧔🏼,medium-light skin tone
🧔🏽,medium skin tone
🧔🏾,medium-dark skin tone
🧔🏿,dark skin tone
👱,blond
👱🏻,blond | light skin tone
👱🏼,blond | medium-light skin tone
👱🏽,blond | medium skin tone
👱🏾,blond | medium-dark skin tone
👱🏿,blond | dark skin tone
👱‍♂️,blond | man
👱🏻‍♂️,blond | light skin tone | man
👱🏼‍♂️,blond | man | medium-light skin tone
👱🏽‍♂️,blond | man | medium skin tone
👱🏾‍♂️,blond | man | medium-dark skin tone
👱🏿‍♂️,blond | dark skin tone | man
👱‍♀️,blonde | woman
👱🏻‍♀️,blonde | light skin tone | woman
👱🏼‍♀️,blonde | medium-light skin tone | woman
👱🏽‍♀️,blonde | medium skin tone | woman
👱🏾‍♀️,blonde | medium-dark skin tone | woman
👱🏿‍♀️,blonde | dark skin tone | woman
🤵,groom | man | tuxedo
🤵🏻,groom | light skin tone | man | tuxedo
🤵🏼,groom | man | medium-light skin tone | tuxedo
🤵🏽,groom | man | medium skin tone | tuxedo
🤵🏾,groom | man | medium-dark skin tone | tuxedo
🤵🏿,dark skin tone | groom | man | tuxedo
👰,bride | veil | wedding
👰🏻,bride | light skin tone | veil | wedding
👰🏼,bride | medium-light skin tone | veil | wedding
👰🏽,bride | medium skin tone | veil | wedding
👰🏾,bride | medium-dark skin tone | veil | wedding
👰🏿,bride | dark skin tone | veil | wedding
🤰,pregnant | woman
🤰🏻,light skin tone | pregnant | woman
🤰🏼,medium-light skin tone | pregnant | woman
🤰🏽,medium skin tone | pregnant | woman
🤰🏾,medium-dark skin tone | pregnant | woman
🤰🏿,dark skin tone | pregnant | woman
🤱,
🤱🏻,light skin tone
🤱🏼,medium-light skin tone
🤱🏽,medium skin tone
🤱🏾,medium-dark skin tone
🤱🏿,dark skin tone
👼,angel | baby | face | fairy tale | fantasy
👼🏻,angel | baby | face | fairy tale | fantasy | light skin tone
👼🏼,angel | baby | face | fairy tale | fantasy | medium-light skin tone
👼🏽,angel | baby | face | fairy tale | fantasy | medium skin tone
👼🏾,angel | baby | face | fairy tale | fantasy | medium-dark skin tone
👼🏿,angel | baby | dark skin tone | face | fairy tale | fantasy
🎅,Christmas | celebration | claus | father | santa
🎅🏻,Christmas | celebration | claus | father | light skin tone | santa
🎅🏼,Christmas | celebration | claus | father | medium-light skin tone | santa
🎅🏽,Christmas | celebration | claus | father | medium skin tone | santa
🎅🏾,Christmas | celebration | claus | father | medium-dark skin tone | santa
🎅🏿,Christmas | celebration | claus | dark skin tone | father | santa
🤶,Christmas | Mrs. | celebration | claus | mother
🤶🏻,Christmas | Mrs. | celebration | claus | light skin tone | mother
🤶🏼,Christmas | Mrs. | celebration | claus | medium-light skin tone | mother
🤶🏽,Christmas | Mrs. | celebration | claus | medium skin tone | mother
🤶🏾,Christmas | Mrs. | celebration | claus | medium-dark skin tone | mother
🤶🏿,Christmas | Mrs. | celebration | claus | dark skin tone | mother
🧙,sorcerer | sorceress | witch | wizard
🧙🏻,light skin tone | sorcerer | sorceress | witch | wizard
🧙🏼,medium-light skin tone | sorcerer | sorceress | witch | wizard
🧙🏽,medium skin tone | sorcerer | sorceress | witch | wizard
🧙🏾,medium-dark skin tone | sorcerer | sorceress | witch | wizard
🧙🏿,dark skin tone | sorcerer | sorceress | witch | wizard
🧙‍♀️,sorceress | witch
🧙🏻‍♀️,light skin tone | sorceress | witch
🧙🏼‍♀️,medium-light skin tone | sorceress | witch
🧙🏽‍♀️,medium skin tone | sorceress | witch
🧙🏾‍♀️,medium-dark skin tone | sorceress | witch
🧙🏿‍♀️,dark skin tone | sorceress | witch
🧙‍♂️,sorcerer | wizard
🧙🏻‍♂️,light skin tone | sorcerer | wizard
🧙🏼‍♂️,medium-light skin tone | sorcerer | wizard
🧙🏽‍♂️,medium skin tone | sorcerer | wizard
🧙🏾‍♂️,medium-dark skin tone | sorcerer | wizard
🧙🏿‍♂️,dark skin tone | sorcerer | wizard
🧚,Oberon | Puck | Titania
🧚🏻,Oberon | Puck | Titania | light skin tone
🧚🏼,Oberon | Puck | Titania | medium-light skin tone
🧚🏽,Oberon | Puck | Titania | medium skin tone
🧚🏾,Oberon | Puck | Titania | medium-dark skin tone
🧚🏿,Oberon | Puck | Titania | dark skin tone
🧚‍♀️,Titania
